,id,huml,humw,ulnal,ulnaw,feml,femw,tibl,tibw,tarl,tarw
0,0,0.2945908101280861,0.8043282942444386,0.0477859567436371,0.5821550057449225,0.2509429801279752,0.2368987482825869,-1.5584667658007063,0.40722318678084946,-0.02623442100176714,0.4083367122410619
1,1,0.4451725915224575,0.7868335036145103,0.19254087509009032,0.906726843472769,0.5140843235428796,0.5341166604107067,0.4113779909726422,0.6378151047089123,0.09422412355429316,0.48588843418015776
2,2,0.2795881972216359,0.6958605923388831,0.0010634185449579004,0.7650123791127235,0.31433840894303844,0.3359713856586268,0.28299008993562114,0.4120271850710173,-0.04301257542207559,0.1802434124201916
3,3,0.23661775037846983,0.4614303978978435,-0.05840163007154276,0.5318692280687771,0.16188749679252926,0.14773337464415082,0.12006663441020252,0.10457129450026643,-0.15185547461022983,0.21217647439511356
4,4,-0.03843015290645207,0.16051999906307615,-0.29065511995370413,0.056440057312495046,-0.144523742480275,-0.24855717486000908,-0.22001630673508896,-0.10680463026712474,-0.31963701881331374,0.08444422649542609
5,5,-0.05472928791592876,0.1395262503071623,-0.3183488425951031,-0.06241723537657542,0.6388626278772895,0.5886066109675289,-0.2020894540235544,-0.2172965909409883,-0.4405257724570742,-0.05241175339709601
6,6,0.2751429785826878,0.5454053929214996,-0.030707907430143958,0.4084405010455117,0.26402457655013095,0.09324342408732887,0.17516534347947854,0.18143526714295422,-0.08990536598139902,0.3170993923127139
7,7,0.4094256249675822,0.454432481645872,0.09043089160861323,0.4312976727164867,0.38427463596917905,0.2765278032330027,0.3006533124602216,0.30153522439715374,-0.05893031166698351,0.39465111425180976
8,8,0.987674482917431,1.2032095206068047,0.8060502766734733,1.1535842975193003,1.1324413236517088,1.103784325322937,1.1964686876630908,1.1518429217568866,0.9598048080071255,0.6501156100511845
9,9,1.4840572309333164,2.1129386333630777,1.2708970567156048,1.5741562562652422,1.717591194381219,2.089557067214535,1.4600988745974255,1.9829346259559475,1.693311302535992,1.5488032113454133
10,10,1.8544921175123357,2.473331320339601,1.4747772234007501,2.3193000527390306,2.185006697311327,2.2926559738354166,2.066448304546395,2.4345104652317375,2.0348973181699628,1.681097325241518
11,11,2.243448748420306,1.9065001039299234,1.4068171678390347,2.3558715274125905,0.9659025384311863,1.8815045287248506,3.1736950896706007,2.348038496008714,2.215154925916353,0.7504766619723673
12,12,1.9841443278149922,1.4201449244179156,1.236917028934747,2.205014194384155,0.7726974220424226,1.7130810451855827,3.0418799962034333,3.0926582309847506,1.861523055826776,1.1656064676463513
13,13,1.5564772512595149,0.8393178755042955,0.8860732420973928,1.322727367884516,0.3757212844623851,1.5397039297775128,2.382804528867597,1.6802827336753643,1.4799275950366848,0.5908113520977583
14,14,1.561663339671621,0.9092970380240089,0.8882819439031485,1.1901557721928604,0.32742000536519417,1.0740625341101246,2.382804528867597,1.6466547456441887,1.5633881580505273,0.1893671444130264
